cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3
"31","060","31060",Yucatán,10344.79000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",64,2162.64,8118.15
"31","061","31061",Yucatán,33739.84000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",3247.43,16477.31,13028.27
"31","062","31062",Yucatán,19898.97000,197.16112,Sacalum,"2360","2361",Sur,"7",341.39,3645.86,15911.72
"31","063","31063",Yucatán,16087.83000,159.24529,Samahil,"2361","2362",Poniente,"1",609.69,2869.14,12609
"31","064","31064",Yucatán,2617.73000,25.94001,Sanahcat,"2362","2363",Centro,"3",48.46,0,2569.27
"31","065","31065",Yucatán,45198.94000,447.79792,San Felipe,"2363","2364",Noreste,"5",45.42,29295.53,15053.31
"31","066","31066",Yucatán,51443.63000,509.87699,Santa Elena,"2364","2365",Sur,"7",123.93,3429.59,47890.11
"31","067","31067",Yucatán,17824.93000,176.57656,Seyé,"2365","2366",Noroeste,"2",229.9,1565.32,16029.7
"31","068","31068",Yucatán,13433.37000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",367.66,7286.63,5779.07
"31","069","31069",Yucatán,54608.74000,541.41639,Sotuta,"2367","2368",Oriente,"6",266.25,9416.35,44926.13
"31","070","31070",Yucatán,30712.73000,304.38063,Sucilá,"2368","2369",Noreste,"5",78.31,23612,7022.42
"31","071","31071",Yucatán,22159.24000,219.64622,Sudzal,"2369","2370",Centro,"3",64.46,5192.56,16902.22
"31","072","31072",Yucatán,8794.36000,87.10640,Suma,"2370","2371",Litoral centro,"4",125.3,2783.69,5885.37
"31","073","31073",Yucatán,24145.72000,239.57272,Tahdziú,"2371","2372",Oriente,"6",57.21,7803.68,16284.83
"31","074","31074",Yucatán,10255.00000,101.58976,Tahmek,"2372","2373",Noroeste,"2",369.38,2214.3,7671.32
"31","075","31075",Yucatán,22473.08000,222.84278,Teabo,"2373","2374",Sur,"7",160.14,3526.58,18786.36
"31","076","31076",Yucatán,36782.83000,364.44416,Tecoh,"2374","2375",Noroeste,"2",667.56,3536.68,32578.6
"31","077","31077",Yucatán,19964.10000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",104.34,10435.77,9423.99
"31","078","31078",Yucatán,7982.16000,79.07761,Tekantó,"2376","2377",Centro,"3",396.33,2536.63,5049.19
"31","079","31079",Yucatán,277015.68000,2749.10146,Tekax,"2377","2378",Sur,"7",913.41,39739.44,236362.83
"31","080","31080",Yucatán,28117.06000,278.69264,Tekit,"2378","2379",Sur,"7",177.95,3688.2,24250.91
"31","081","31081",Yucatán,27305.19000,270.91751,Tekom,"2379","2380",Oriente,"6",105.43,4556.02,22643.73
"31","082","31082",Yucatán,5798.04000,57.41223,Telchac Pueblo,"2380","2381",Litoral centro,"4",137.24,3909.56,1751.23
"31","083","31083",Yucatán,6521.03000,64.56118,Telchac Puerto,"2381","2382",Litoral centro,"4",468.06,2174.22,3860.14
"31","084","31084",Yucatán,33761.80000,334.47349,Temax,"2382","2383",Litoral centro,"4",159.92,22115.07,11486.81
"31","085","31085",Yucatán,70621.38000,700.36060,Temozón,"2383","2384",Oriente,"6",402.5,30290.91,39927.97
"31","086","31086",Yucatán,10873.00000,107.71841,Tepakán,"2384","2385",Centro,"3",183.11,2890.12,7799.77
"31","087","31087",Yucatán,33743.62000,333.87542,Tetiz,"2385","2386",Poniente,"1",473.8,3233.01,30036.81
"31","088","31088",Yucatán,7789.04000,77.16065,Teya,"2386","2387",Centro,"3",121.96,2079.9,5587.18
"31","089","31089",Yucatán,34024.97000,337.25428,Ticul,"2387","2388",Sur,"7",869.21,7160.62,25995.13
"31","090","31090",Yucatán,13469.74000,133.42084,Timucuy,"2388","2389",Noroeste,"2",231.45,1640.13,11598.16
"31","091","31091",Yucatán,47043.20000,466.52238,Tinum,"2389","2390",Oriente,"6",510.94,6972.9,39559.37
"31","092","31092",Yucatán,50220.95000,498.40485,Tixcacalcupul,"2390","2391",Oriente,"6",210.92,10622.78,39387.25
"31","093","31093",Yucatán,17238.94000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",824.76,3521.32,12892.86
"31","094","31094",Yucatán,23029.14000,228.44979,Tixmehuac,"2392","2393",Sur,"7",49.64,6546.02,16433.49
"31","095","31095",Yucatán,7095.18000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",598.11,1801.22,4695.85
"31","096","31096",Yucatán,388251.25000,3848.72093,Tizimín,"2394","2395",Noreste,"5",4694.24,218540.51,164847.15
"31","097","31097",Yucatán,41323.38000,409.60822,Tunkás,"2395","2396",Centro,"3",132.32,12839.96,28351.09
"31","098","31098",Yucatán,76584.57000,760.23971,Tzucacab,"2396","2397",Sur,"7",534.52,27072.12,48977.92
"31","099","31099",Yucatán,18761.67000,186.06223,Uayma,"2397","2398",Oriente,"6",89.56,4509.96,14162.14
"31","100","31100",Yucatán,13097.18000,129.62563,Ucú,"2398","2399",Noroeste,"2",682.87,942.98,11471.32
"31","101","31101",Yucatán,34953.06000,346.05646,Umán,"2399","2400",Noroeste,"2",2997.3,7545.03,24410.73
"31","102","31102",Yucatán,107773.46000,1069.24356,Valladolid,"2400","2401",Oriente,"6",2524.38,38715.73,66533.35
"31","103","31103",Yucatán,11081.19000,109.81103,Xocchel,"2401","2402",Centro,"3",114.24,899.39,10067.57
"31","104","31104",Yucatán,147429.64000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",610.3,46745.15,100074.19
"31","105","31105",Yucatán,4954.14000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",266.84,2162.45,2524.85
"31","106","31106",Yucatán,13182.67000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",1089.61,3626.96,8464.59
"31","001","31001",Yucatán,29300.75000,290.23783,Abalá,"2299","2300",Noroeste,"2",376.95,2337.05,26586.75
"31","002","31002",Yucatán,13736.21000,136.06331,Acanceh,"2300","2301",Noroeste,"2",688.85,2216.42,10830.94
"31","003","31003",Yucatán,7650.93000,75.87159,Akil,"2301","2302",Sur,"7",169.96,4376.98,3104
"31","004","31004",Yucatán,10854.88000,107.47849,Baca,"2302","2303",Noroeste,"2",254.23,5960.21,4640.44
"31","005","31005",Yucatán,7173.90000,71.06498,Bokobá,"2303","2304",Litoral centro,"4",94.83,1134.15,5944.92
"31","006","31006",Yucatán,65429.45000,648.28643,Buctzotz,"2304","2305",Noreste,"5",300.61,61586.43,3542.41
"31","007","31007",Yucatán,10153.03000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",198.84,1719.96,8234.22
"31","008","31008",Yucatán,29061.53000,288.14560,Calotmul,"2306","2307",Noreste,"5",144.45,10185.7,18731.37
"31","009","31009",Yucatán,12885.32000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",254.03,5840.74,6790.55
"31","010","31010",Yucatán,35637.76000,353.42205,Cantamayec,"2308","2309",Oriente,"6",77.98,1264.94,34294.85
"31","011","31011",Yucatán,60415.08000,597.58699,Celestún,"2309","2310",Poniente,"1",2091.19,1215.97,54920.77
"31","012","31012",Yucatán,54246.77000,537.66777,Cenotillo,"2310","2311",Noreste,"5",200.99,34647.75,19398.04
"31","013","31013",Yucatán,6339.60000,62.76617,Conkal,"2311","2312",Noroeste,"2",3130.22,612.78,2596.6
"31","014","31014",Yucatán,13585.58000,134.76718,Cuncunul,"2312","2313",Oriente,"6",86.86,510.41,12988.31
"31","015","31015",Yucatán,9354.71000,92.69076,Cuzamá,"2313","2314",Centro,"3",131.39,509.88,8713.43
"31","016","31016",Yucatán,11468.85000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",139.56,4716.65,6612.64
"31","017","31017",Yucatán,44342.75000,439.89861,Chankom,"2315","2316",Oriente,"6",201.92,11493.68,32647.15
"31","018","31018",Yucatán,16955.28000,168.03446,Chapab,"2316","2317",Sur,"7",135.68,1682.1,15137.49
"31","019","31019",Yucatán,139751.86000,1386.41357,Chemax,"2317","2318",Oriente,"6",946.11,29317.68,109488.08
"31","020","31020",Yucatán,4431.37000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",669.91,1027.89,2733.58
"31","021","31021",Yucatán,46976.02000,466.20642,Chichimilá,"2319","2320",Oriente,"6",196.63,10921.31,35858.08
