cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3
"31","007","31007",Yucatán,10153.03000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",0,3227.28,6925.75
"31","008","31008",Yucatán,29061.53000,288.14560,Calotmul,"2306","2307",Noreste,"5",0,4735.47,24326.06
"31","009","31009",Yucatán,12885.32000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",0,4861.51,8023.81
"31","010","31010",Yucatán,35637.76000,353.42205,Cantamayec,"2308","2309",Oriente,"6",0,34.32,35603.44
"31","011","31011",Yucatán,60415.08000,597.58699,Celestún,"2309","2310",Poniente,"1",0,350.97,57364.2
"31","012","31012",Yucatán,54246.77000,537.66777,Cenotillo,"2310","2311",Noreste,"5",0,15350.59,38896.18
"31","013","31013",Yucatán,6339.60000,62.76617,Conkal,"2311","2312",Noroeste,"2",0,3275.67,3063.93
"31","014","31014",Yucatán,13585.58000,134.76718,Cuncunul,"2312","2313",Oriente,"6",0,0,13585.58
"31","015","31015",Yucatán,9354.71000,92.69076,Cuzamá,"2313","2314",Centro,"3",0,2812.8,6541.91
"31","016","31016",Yucatán,11468.85000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",0,0,11468.85
"31","017","31017",Yucatán,44342.75000,439.89861,Chankom,"2315","2316",Oriente,"6",0,0,44342.75
"31","018","31018",Yucatán,16955.28000,168.03446,Chapab,"2316","2317",Sur,"7",0,351.4,16603.88
"31","019","31019",Yucatán,139751.86000,1386.41357,Chemax,"2317","2318",Oriente,"6",0,3127.3,136545.62
"31","020","31020",Yucatán,4431.37000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",0,1631.25,2800.12
"31","021","31021",Yucatán,46976.02000,466.20642,Chichimilá,"2319","2320",Oriente,"6",0,0.03,46954.52
"31","022","31022",Yucatán,47371.84000,470.16167,Chikindzonot,"2320","2321",Oriente,"6",0,42,47272.49
"31","023","31023",Yucatán,29326.12000,290.36740,Chocholá,"2321","2322",Poniente,"1",0,1553.01,27773.1
"31","024","31024",Yucatán,8388.79000,83.16274,Chumayel,"2322","2323",Sur,"7",0,50.8,8338
"31","025","31025",Yucatán,7997.77000,79.27994,Dzán,"2323","2324",Sur,"7",0,762.27,7235.5
"31","026","31026",Yucatán,17422.14000,172.48678,Dzemul,"2324","2325",Litoral centro,"4",489.77,5054.05,11849.88
"31","027","31027",Yucatán,20759.32000,205.59232,Dzidzantún,"2325","2326",Litoral centro,"4",1131.62,8270.14,11272.17
"31","028","31028",Yucatán,43222.72000,428.12995,Dzilam de Bravo,"2326","2327",Litoral centro,"4",269.71,2925.2,38602.65
"31","029","31029",Yucatán,50647.64000,501.70990,Dzilam González,"2327","2328",Litoral centro,"4",0,21284.78,29362.86
"31","030","31030",Yucatán,30950.27000,306.86940,Dzitás,"2328","2329",Oriente,"6",0,513.23,30437.03
"31","031","31031",Yucatán,13342.28000,132.20039,Dzoncauich,"2329","2330",Litoral centro,"4",0,6485.05,6857.23
"31","032","31032",Yucatán,73505.34000,728.68756,Espita,"2330","2331",Noreste,"5",0,9639.65,63865.69
"31","033","31033",Yucatán,58746.65000,581.48907,Halachó,"2331","2332",Poniente,"1",0,5984.88,52654.7
"31","034","31034",Yucatán,9496.25000,94.09100,Hocabá,"2332","2333",Centro,"3",0,1891.99,7604.27
"31","035","31035",Yucatán,12070.89000,119.60005,Hoctún,"2333","2334",Centro,"3",0,1212.93,10857.96
"31","036","31036",Yucatán,19992.65000,198.13180,Homún,"2334","2335",Centro,"3",0,2811.52,17181.13
"31","037","31037",Yucatán,19765.42000,195.90283,Huhí,"2335","2336",Centro,"3",0,1764.77,18000.65
