cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3
"31","060","31060",Yucatán,10344.79000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",64,0.93,10279.86
"31","061","31061",Yucatán,33739.84000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",3680.28,15870.75,13152.5
"31","062","31062",Yucatán,19898.97000,197.16112,Sacalum,"2360","2361",Sur,"7",118.33,2877.44,16903.2
"31","063","31063",Yucatán,16087.83000,159.24529,Samahil,"2361","2362",Poniente,"1",134.3,2419.88,13533.64
"31","064","31064",Yucatán,2617.73000,25.94001,Sanahcat,"2362","2363",Centro,"3",48.46,0,2569.27
"31","065","31065",Yucatán,45198.94000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,29404.23,14969.48
"31","066","31066",Yucatán,51443.63000,509.87699,Santa Elena,"2364","2365",Sur,"7",123.93,1646.95,49672.75
"31","067","31067",Yucatán,17824.93000,176.57656,Seyé,"2365","2366",Noroeste,"2",156.77,1106.68,16561.48
"31","068","31068",Yucatán,13433.37000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",327.92,6217.28,6887.93
"31","069","31069",Yucatán,54608.74000,541.41639,Sotuta,"2367","2368",Oriente,"6",266.24,1233.51,53108.98
"31","070","31070",Yucatán,30712.73000,304.38063,Sucilá,"2368","2369",Noreste,"5",78.31,27667.34,2967.08
"31","071","31071",Yucatán,22159.24000,219.64622,Sudzal,"2369","2370",Centro,"3",0,4784.59,17374.64
"31","072","31072",Yucatán,8794.36000,87.10640,Suma,"2370","2371",Litoral centro,"4",52,4391.26,4351.09
"31","073","31073",Yucatán,24145.72000,239.57272,Tahdziú,"2371","2372",Oriente,"6",57.21,903.67,23184.84
"31","074","31074",Yucatán,10255.00000,101.58976,Tahmek,"2372","2373",Noroeste,"2",83.88,1831.24,8339.87
"31","075","31075",Yucatán,22473.08000,222.84278,Teabo,"2373","2374",Sur,"7",160.14,0,22312.94
"31","076","31076",Yucatán,36782.83000,364.44416,Tecoh,"2374","2375",Noroeste,"2",239.53,6721.37,29821.94
"31","077","31077",Yucatán,19964.10000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",33.03,10299.14,9631.93
"31","078","31078",Yucatán,7982.16000,79.07761,Tekantó,"2376","2377",Centro,"3",256.64,3695.98,4029.54
"31","079","31079",Yucatán,277015.68000,2749.10146,Tekax,"2377","2378",Sur,"7",562.16,33096.09,243357.43
"31","080","31080",Yucatán,28117.06000,278.69264,Tekit,"2378","2379",Sur,"7",161.62,5154.07,22801.37
"31","081","31081",Yucatán,27305.19000,270.91751,Tekom,"2379","2380",Oriente,"6",45.95,484.84,26774.4
"31","082","31082",Yucatán,5798.04000,57.41223,Telchac Pueblo,"2380","2381",Litoral centro,"4",137.24,4099,1561.8
"31","083","31083",Yucatán,6521.03000,64.56118,Telchac Puerto,"2381","2382",Litoral centro,"4",244.9,1911.85,4344.23
"31","084","31084",Yucatán,33761.80000,334.47349,Temax,"2382","2383",Litoral centro,"4",159.92,18354.69,15247.19
"31","085","31085",Yucatán,70621.38000,700.36060,Temozón,"2383","2384",Oriente,"6",276.13,11329.44,59015.82
"31","086","31086",Yucatán,10873.00000,107.71841,Tepakán,"2384","2385",Centro,"3",47.81,3932.69,6892.49
"31","087","31087",Yucatán,33743.62000,333.87542,Tetiz,"2385","2386",Poniente,"1",237.5,3010.54,30495.58
"31","088","31088",Yucatán,7789.04000,77.16065,Teya,"2386","2387",Centro,"3",58.35,3417.44,4313.25
"31","089","31089",Yucatán,34024.97000,337.25428,Ticul,"2387","2388",Sur,"7",794.51,5695.1,27535.36
"31","090","31090",Yucatán,13469.74000,133.42084,Timucuy,"2388","2389",Noroeste,"2",45.05,1835.17,11589.51
"31","091","31091",Yucatán,47043.20000,466.52238,Tinum,"2389","2390",Oriente,"6",277.06,2232.48,44533.67
"31","092","31092",Yucatán,50220.95000,498.40485,Tixcacalcupul,"2390","2391",Oriente,"6",98.22,4.96,50117.77
"31","093","31093",Yucatán,17238.94000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",575.9,3305.41,13357.63
"31","094","31094",Yucatán,23029.14000,228.44979,Tixmehuac,"2392","2393",Sur,"7",49.64,0,22979.51
"31","095","31095",Yucatán,7095.18000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",106.24,896.32,6092.62
"31","096","31096",Yucatán,388251.25000,3848.72093,Tizimín,"2394","2395",Noreste,"5",4563.61,183979.3,199505.51
"31","097","31097",Yucatán,41323.38000,409.60822,Tunkás,"2395","2396",Centro,"3",132.32,9474.25,31716.81
"31","098","31098",Yucatán,76584.57000,760.23971,Tzucacab,"2396","2397",Sur,"7",363.4,17589.21,58631.95
"31","099","31099",Yucatán,18761.67000,186.06223,Uayma,"2397","2398",Oriente,"6",89.57,163.08,18509.01
