id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
48, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
49, 0.3260, 0.3260, 0.2889, 0.4881, 0.4756, 0.5714, 0.6119, 0.6287, 0.6346, 0.6371, 0.6435
50, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
51, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
52, 0.3260, 0.3260, 0.3042, 0.2962, 0.4124, 0.5055, 0.5094, 0.5681, 0.6065, 0.6266, 0.6371
53, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
54, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
55, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
56, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
57, 0.3260, 0.3260, 0.2214, 0.2099, 0.1991, 0.2387, 0.2476, 0.3224, 0.4132, 0.4771, 0.5123
58, 0.4234, 0.4234, 0.7300, 0.7163, 0.7129, 0.6912, 0.6673, 0.6844, 0.6780, 0.6814, 0.6820
59, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
60, 0.3260, 0.3260, 0.2851, 0.2872, 0.3475, 0.4567, 0.5140, 0.5792, 0.6154, 0.6305, 0.6371
61, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
62, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
64, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
65, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
67, 0.3260, 0.3260, 0.2214, 0.2041, 0.2083, 0.2346, 0.2556, 0.2847, 0.3892, 0.4512, 0.4952
68, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
69, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
70, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
71, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
72, 0.3260, 0.3260, 0.2499, 0.2538, 0.2757, 0.2893, 0.3821, 0.4411, 0.4948, 0.5264, 0.5147
73, 0.3260, 0.3260, 0.2537, 0.2326, 0.2755, 0.3035, 0.3888, 0.4598, 0.4959, 0.5365, 0.5528
74, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
75, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
76, 0.3260, 0.3260, 0.2214, 0.2163, 0.2144, 0.2440, 0.2559, 0.2977, 0.3806, 0.4382, 0.4694
77, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
