id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
48, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
49, 0.3260, 0.3260, 0.2540, 0.2382, 0.2859, 0.3092, 0.4007, 0.4928, 0.5737, 0.5589, 0.5514
50, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
51, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
52, 0.3260, 0.3260, 0.2706, 0.2729, 0.2700, 0.3788, 0.4608, 0.5159, 0.5491, 0.5614, 0.5759
53, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
54, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
55, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
56, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
57, 0.3260, 0.3260, 0.2214, 0.1555, 0.1424, 0.1452, 0.1451, 0.1751, 0.1961, 0.2090, 0.2017
58, 0.3260, 0.3260, 0.2780, 0.2933, 0.3186, 0.5198, 0.5467, 0.5585, 0.5786, 0.6024, 0.6007
59, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
60, 0.3260, 0.3260, 0.2623, 0.2715, 0.2947, 0.3779, 0.4645, 0.5206, 0.5472, 0.5659, 0.5806
61, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
62, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
64, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
65, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
67, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0713, 0.0818, 0.0867
68, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
69, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
70, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
71, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
72, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0902, 0.0923, 0.1012, 0.0952, 0.1059
73, 0.3260, 0.3260, 0.2214, 0.1762, 0.1779, 0.1868, 0.2053, 0.2098, 0.2026, 0.2863, 0.3520
74, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
75, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
76, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0712, 0.0818, 0.0844
77, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
78, 0.3260, 0.3260, 0.2214, 0.1762, 0.1825, 0.1702, 0.2166, 0.2359, 0.2268, 0.3328, 0.4195
79, 0.3260, 0.3260, 0.2851, 0.2921, 0.4346, 0.5191, 0.5612, 0.5810, 0.5773, 0.5831, 0.5746
80, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.1071, 0.1024, 0.1180, 0.1201, 0.1303, 0.1521
81, 0.3260, 0.3260, 0.2632, 0.2566, 0.2868, 0.3694, 0.4571, 0.5087, 0.5414, 0.5561, 0.5619
82, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
83, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.1085, 0.1069, 0.1196, 0.1193, 0.1350, 0.1546
84, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
85, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0875, 0.0852, 0.0977, 0.1016, 0.0880
86, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
87, 0.3260, 0.3260, 0.2375, 0.3683, 0.4213, 0.4149, 0.4869, 0.5469, 0.5722, 0.5892, 0.6001
88, 0.3260, 0.3260, 0.2906, 0.3002, 0.3678, 0.4457, 0.5149, 0.5511, 0.5675, 0.5707, 0.5746
89, 0.3260, 0.3260, 0.2214, 0.2220, 0.2295, 0.2553, 0.2835, 0.3623, 0.4014, 0.4530, 0.5031
90, 0.3260, 0.3260, 0.2214, 0.1555, 0.1234, 0.1144, 0.1346, 0.1409, 0.1649, 0.1854, 0.1971
91, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
92, 0.3260, 0.3260, 0.2214, 0.2159, 0.2185, 0.2685, 0.2572, 0.3204, 0.4089, 0.4666, 0.5143
93, 0.3260, 0.3260, 0.2214, 0.1555, 0.1234, 0.1139, 0.1346, 0.1404, 0.1649, 0.1854, 0.1962
94, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
95, 0.3260, 0.3260, 0.2214, 0.2220, 0.2331, 0.2405, 0.2649, 0.4031, 0.4311, 0.5024, 0.5311
96, 0.3260, 0.3260, 0.2305, 0.2704, 0.3932, 0.4074, 0.4401, 0.5082, 0.5581, 0.5835, 0.5943
97, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0726, 0.0818, 0.0875
98, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
99, 0.3260, 0.3260, 0.2214, 0.1886, 0.1930, 0.2293, 0.2562, 0.2910, 0.4020, 0.4770, 0.5092
100, 0.3260, 0.3260, 0.2505, 0.2384, 0.2850, 0.4075, 0.4614, 0.5110, 0.5462, 0.5711, 0.5680
101, 0.3260, 0.3260, 0.2214, 0.2280, 0.2441, 0.3661, 0.3446, 0.4154, 0.4771, 0.5040, 0.5265
102, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0706, 0.0818, 0.0847
103, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
104, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
105, 0.3260, 0.3260, 0.2214, 0.2152, 0.2155, 0.2751, 0.2536, 0.3532, 0.4232, 0.4552, 0.5000
106, 0.3260, 0.3260, 0.2214, 0.2320, 0.2506, 0.3245, 0.3593, 0.4440, 0.4902, 0.5352, 0.5543
107, 0.3260, 0.3260, 0.2214, 0.1863, 0.1981, 0.2301, 0.2491, 0.2977, 0.4076, 0.4496, 0.4773
108, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
109, 0.3260, 0.3260, 0.2214, 0.2299, 0.2694, 0.2725, 0.3013, 0.4152, 0.5119, 0.5165, 0.5166
110, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
111, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
113, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
115, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
117, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0724, 0.0818, 0.0875
118, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0724, 0.0818, 0.0875
119, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0434, 0.0439
120, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
121, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
122, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
123, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
124, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
125, 0.3260, 0.3260, 0.2214, 0.1555, 0.1234, 0.1186, 0.1346, 0.1408, 0.1649, 0.1854, 0.1997
126, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
127, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0724, 0.0818, 0.0875
128, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
129, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
131, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0390, 0.0443, 0.0445
133, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
134, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
136, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
138, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
139, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
140, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
141, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
142, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
