cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2
"31",Yucatán,Noreste,786995.395,19.8,V,"5",313781.82,470907.91
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",918151.46,129435.14
"31",Yucatán,Sur,731305.345,18.4,VII,"7",612843.15,118992.61
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",141800.77,153478.09
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",270658.63,107999.8
"31",Yucatán,Poniente,450299.912,11.3,I,"1",370341.87,78287.39
"31",Yucatán,Centro,260255.490,6.5,III,"3",192528.26,67801.36
