cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2
"31",Yucatán,Noreste,786995.395,19.8,V,"5",317665.13,466921.07
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",959578.28,88008.32
"31",Yucatán,Sur,731305.345,18.4,VII,"7",619159.38,112676.37
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",138315.51,156950.79
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",271218.07,107431.87
"31",Yucatán,Poniente,450299.912,11.3,I,"1",365087.02,83536.42
"31",Yucatán,Centro,260255.490,6.5,III,"3",199891.36,60438.26
