cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2
"31",Yucatán,Noreste,786995.395,19.8,V,"5",385587.39,399000.68
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",972050.53,75536.06
"31",Yucatán,Sur,731305.345,18.4,VII,"7",638648.38,93187.37
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",173927.87,121253.02
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",259354.42,118459.91
"31",Yucatán,Poniente,450299.912,11.3,I,"1",358694.03,88928.93
"31",Yucatán,Centro,260255.490,6.5,III,"3",213381.37,46948.25
