cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2
"31",Yucatán,Noreste,786995.395,19.8,V,"5",291761.27,492928.45
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",762894.57,284692.03
"31",Yucatán,Sur,731305.345,18.4,VII,"7",585839.45,145996.31
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",145349.82,149929.04
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",268895.33,109763.1
"31",Yucatán,Poniente,450299.912,11.3,I,"1",371578.05,77051.21
"31",Yucatán,Centro,260255.490,6.5,III,"3",186554.63,73774.99
