cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2
"31",Yucatán,Noreste,786995.395,19.8,V,"5",475673.23,308359.28
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",1027048.17,20227.61
"31",Yucatán,Sur,731305.345,18.4,VII,"7",693236.07,38315.97
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",188954.49,105706.09
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",254855.8,122709.22
"31",Yucatán,Poniente,450299.912,11.3,I,"1",399766.45,47162.04
"31",Yucatán,Centro,260255.490,6.5,III,"3",206069.52,54260.1
