cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_12,clase_13,clase_16,clase_17,clase_18,clase_19
"31","094","31094",Yucatán,23020.51000,228.44979,Tixmehuac,"2392","2393",Sur,"7",0,0,0,0,118.72,0,0,0,0,0,0,22910.42,0,0,0,0
"31","095","31095",Yucatán,7089.34000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",0,6085.42,0,0,0,0,0,0,0,0,1009.75,0,0,0,0,0
"31","096","31096",Yucatán,388484.38000,3848.72093,Tizimín,"2394","2395",Noreste,"5",0,1797.96,4788.39,6873.59,154108.8,8253.43,8884.66,0,0,938.91,6262.16,187852.39,0,5969.2,2519.4,0
"31","097","31097",Yucatán,41322.68000,409.60822,Tunkás,"2395","2396",Centro,"3",0,0,0,0,5213.41,0,0,0,0,0,0,36109.96,0,0,0,0
"31","098","31098",Yucatán,76558.89000,760.23971,Tzucacab,"2396","2397",Sur,"7",473.26,9938.02,0,0,5015.75,2042.55,1363.93,0,0,0,342.16,56249.26,0,0,0,1159.62
"31","099","31099",Yucatán,18767.34000,186.06223,Uayma,"2397","2398",Oriente,"6",0,0,0,0,1065.2,0,0,0,0,0,0,17696.47,0,0,0,0
"31","100","31100",Yucatán,13080.55000,129.62563,Ucú,"2398","2399",Noroeste,"2",0,3286.71,0,0,194.65,2520.87,0,0,0,0,7094.94,0,0,0,0,0
"31","101","31101",Yucatán,34909.49000,346.05646,Umán,"2399","2400",Noroeste,"2",0,21293.78,0,0,1099.85,0,0,0,0,0,12559.43,0,0,0,0,0
"31","102","31102",Yucatán,107824.05000,1069.24356,Valladolid,"2400","2401",Oriente,"6",0,0,0,0,5790.6,0,0,0,0,0,0,101982.85,0,0,0,0
"31","103","31103",Yucatán,11076.66000,109.81103,Xocchel,"2401","2402",Centro,"3",0,1922.5,0,0,663.94,0,0,0,0,0,669.22,7825.54,0,0,0,0
"31","104","31104",Yucatán,147423.03000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",0,0,0,0,2521.76,0,0,0,0,0,0,144907.88,0,0,0,0
"31","105","31105",Yucatán,4950.21000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",0,2593.87,0,0,135.18,0,0,0,0,0,2225.09,0,0,0,0,0
"31","106","31106",Yucatán,13177.45000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",0,4447.49,0,613.44,590.32,0,0,1206.75,0,194.61,6101.18,0,0,0,0,0
"31","001","31001",Yucatán,29268.91000,290.23783,Abalá,"2299","2300",Noroeste,"2",0,7582.52,0,0,1234.67,0,0,0,0,0,20483.55,0,0,0,0,0
"31","002","31002",Yucatán,13725.16000,136.06331,Acanceh,"2300","2301",Noroeste,"2",0,9732.81,0,0,0,0,0,0,0,0,4003.4,0,0,0,0,0
"31","003","31003",Yucatán,7645.66000,75.87159,Akil,"2301","2302",Sur,"7",1653.39,47.85,0,0,0,0,0,0,0,0,0,5949.69,0,0,0,0
"31","004","31004",Yucatán,10846.90000,107.47849,Baca,"2302","2303",Noroeste,"2",0,6624.99,0,0,495.04,0,0,0,0,0,3734.85,0,0,0,0,0
"31","005","31005",Yucatán,7170.57000,71.06498,Bokobá,"2303","2304",Litoral centro,"4",0,4536.57,0,0,0,0,0,0,0,0,2082.63,554.7,0,0,0,0
"31","006","31006",Yucatán,65434.25000,648.28643,Buctzotz,"2304","2305",Noreste,"5",0,66.53,0,0,43049.88,0,0,0,0,0,206.58,22106.46,0,0,0,0
"31","007","31007",Yucatán,10147.40000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",0,8020.81,0,0,0,0,0,0,0,0,2132.22,0,0,0,0,0
"31","008","31008",Yucatán,29074.94000,288.14560,Calotmul,"2306","2307",Noreste,"5",0,0,0,0,6162.9,0,0,0,0,0,0,22898.63,0,0,0,0
"31","009","31009",Yucatán,12880.88000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",0,6163.21,0,0,827.21,0,0,0,0,0,5894.9,0,0,0,0,0
"31","010","31010",Yucatán,35625.97000,353.42205,Cantamayec,"2308","2309",Oriente,"6",0,0,0,0,675.02,0,0,0,0,0,0,34962.74,0,0,0,0
"31","011","31011",Yucatán,60287.13000,597.58699,Celestún,"2309","2310",Poniente,"1",0,164.8,0,35342.93,187.1,13004.59,0,0,0,0,3296.54,0,0,5352.43,0,762.18
"31","012","31012",Yucatán,54253.94000,537.66777,Cenotillo,"2310","2311",Noreste,"5",0,0,0,0,18116.24,0,0,0,0,0,0,36130.53,0,0,0,0
"31","013","31013",Yucatán,6333.98000,62.76617,Conkal,"2311","2312",Noroeste,"2",0,4320.24,0,0,0,0,0,0,0,0,2019.35,0,0,0,0,0
"31","014","31014",Yucatán,13589.81000,134.76718,Cuncunul,"2312","2313",Oriente,"6",0,0,0,0,163.24,0,0,0,0,0,0,13422.34,0,0,0,0
"31","015","31015",Yucatán,9348.41000,92.69076,Cuzamá,"2313","2314",Centro,"3",0,4066.75,0,0,0,0,0,0,0,0,5287.96,0,0,0,0,0
