cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","092","31092",Yucatán,50237.49000,498.40485,Tixcacalcupul,"2390","2391",Oriente,"6",0,0,7.13,0,4.96,0,0,98.22,0,0,0,50110.64,0,0,0,0,0,0
"31","093","31093",Yucatán,17226.74000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",27.92,3223.92,0,0,53.57,0,0,575.9,0,0,10712.18,2645.44,0,0,0,0,0,0
"31","094","31094",Yucatán,23020.51000,228.44979,Tixmehuac,"2392","2393",Sur,"7",0,0,0,0,0,0,0,49.64,0,0,0,22979.51,0,0,0,0,0,0
"31","095","31095",Yucatán,7089.34000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",96.19,800.13,0,0,0,0,0,106.24,0,0,5651.54,441.09,0,0,0,0,0,0
"31","096","31096",Yucatán,388484.38000,3848.72093,Tizimín,"2394","2395",Noreste,"5",0,1069.94,4899.17,7613.27,182909.36,1513.96,3135.61,1428,1388.15,0,6534.41,174891.63,0,0,0,2664.91,0,0
"31","097","31097",Yucatán,41322.68000,409.60822,Tunkás,"2395","2396",Centro,"3",0,414.05,0,0,9060.2,0,0,132.32,0,0,0,31716.81,0,0,0,0,0,0
"31","098","31098",Yucatán,76558.89000,760.23971,Tzucacab,"2396","2397",Sur,"7",921.06,734.19,0,0,15933.96,2233.41,0,363.4,0,0,3553.66,52844.88,0,0,0,0,0,0
"31","099","31099",Yucatán,18767.34000,186.06223,Uayma,"2397","2398",Oriente,"6",0,13.9,0,0,149.18,0,0,89.57,0,0,0,18509.01,0,0,0,0,0,0
"31","100","31100",Yucatán,13080.55000,129.62563,Ucú,"2398","2399",Noroeste,"2",419.21,1837.84,0,74.64,98.93,0,0,64.17,0,0,10543.38,59.01,0,0,0,0,0,0
"31","101","31101",Yucatán,34909.49000,346.05646,Umán,"2399","2400",Noroeste,"2",157.93,6658.09,2.65,0,208.44,0,0,927.31,0,0,37.84,26960.81,0,0,0,0,0,0
"31","102","31102",Yucatán,107824.05000,1069.24356,Valladolid,"2400","2401",Oriente,"6",0,0,7.74,0,9216.43,0,0,1237,0,0,0,97312.3,0,0,0,0,0,0
"31","103","31103",Yucatán,11076.66000,109.81103,Xocchel,"2401","2402",Centro,"3",0,0,0,0,144.34,0,0,62.95,0,0,0,10873.9,0,0,0,0,0,0
"31","104","31104",Yucatán,147423.03000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",0,1341.72,4.65,0,1467.09,0,0,297.63,0,0,0,144318.56,0,0,0,0,0,0
"31","105","31105",Yucatán,4950.21000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",0,2298.99,0,0,0,0,0,40.61,0,0,2614.54,0,0,0,0,0,0,0
"31","106","31106",Yucatán,13177.45000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",21.11,2463.19,60.84,568.45,802.09,0,1003.53,91.13,131.66,0,4722.21,3315.99,0,0,0,0,0,0
"31","001","31001",Yucatán,29268.91000,290.23783,Abalá,"2299","2300",Noroeste,"2",0,4735.29,5.51,0,547.77,0,0,45.75,0,0,0,23966.44,0,0,0,0,0,0
"31","002","31002",Yucatán,13725.16000,136.06331,Acanceh,"2300","2301",Noroeste,"2",183.45,1727.07,0,0,180.98,0,0,171.02,0,0,65.08,11408.6,0,0,0,0,0,0
"31","003","31003",Yucatán,7645.66000,75.87159,Akil,"2301","2302",Sur,"7",2613.22,1986.52,0,0,0,0,0,169.96,0,0,111.34,2769.89,0,0,0,0,0,0
"31","004","31004",Yucatán,10846.90000,107.47849,Baca,"2302","2303",Noroeste,"2",0,4697.32,0,0,1328.67,0,0,179.98,0,0,4648.92,0,0,0,0,0,0,0
"31","005","31005",Yucatán,7170.57000,71.06498,Bokobá,"2303","2304",Litoral centro,"4",0,824.05,0,0,97.41,0,0,60.27,0,0,3.75,6188.42,0,0,0,0,0,0
"31","006","31006",Yucatán,65434.25000,648.28643,Buctzotz,"2304","2305",Noreste,"5",0,0,32.86,0,61204.83,0,0,151.56,0,0,0,4040.2,0,0,0,0,0,0
"31","007","31007",Yucatán,10147.40000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",0,1792.32,0,0,0,0,0,194.65,0,0,2903.4,5262.66,0,0,0,0,0,0
"31","008","31008",Yucatán,29074.94000,288.14560,Calotmul,"2306","2307",Noreste,"5",0,297.62,0,0,6415.59,0,0,117.93,0,0,0,22230.39,0,0,0,0,0,0
"31","009","31009",Yucatán,12880.88000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",228.97,406.62,0,0,4115.3,0,0,143.8,0,0,0,7990.63,0,0,0,0,0,0
"31","010","31010",Yucatán,35625.97000,353.42205,Cantamayec,"2308","2309",Oriente,"6",0,0,0,0,0,0,0,52.42,0,0,0,35585.35,0,0,0,0,0,0
"31","011","31011",Yucatán,60287.13000,597.58699,Celestún,"2309","2310",Poniente,"1",0,0,166.12,14344.67,3081.07,0,2004.72,85.73,770.02,12462.72,14173.6,2496.84,1234.2,0,0,6312.58,0,1096.77
"31","012","31012",Yucatán,54253.94000,537.66777,Cenotillo,"2310","2311",Noreste,"5",0,2516.7,0,0,24215.46,0,0,200.98,0,0,0,27313.63,0,0,0,0,0,0
"31","013","31013",Yucatán,6333.98000,62.76617,Conkal,"2311","2312",Noroeste,"2",28.5,2676.55,0,0,0,0,0,119.94,0,0,3514.61,0,0,0,0,0,0,0
"31","014","31014",Yucatán,13589.81000,134.76718,Cuncunul,"2312","2313",Oriente,"6",0,0,0,0,0,0,0,56.67,0,0,0,13528.91,0,0,0,0,0,0
"31","015","31015",Yucatán,9348.41000,92.69076,Cuzamá,"2313","2314",Centro,"3",103.62,604.03,6.77,0,105.96,0,0,57.7,0,0,0,8476.63,0,0,0,0,0,0
"31","016","31016",Yucatán,11465.42000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",0,0,0,0,0,0,0,48.02,0,0,0,11420.83,0,0,0,0,0,0
"31","017","31017",Yucatán,44348.89000,439.89861,Chankom,"2315","2316",Oriente,"6",0,6934.65,0,0,269.58,0,0,147.63,0,0,0,36990.89,0,0,0,0,0,0
"31","018","31018",Yucatán,16940.66000,168.03446,Chapab,"2316","2317",Sur,"7",102.93,687.3,7.8,0,20.12,0,0,135.57,0,0,0,16001.55,0,0,0,0,0,0
"31","019","31019",Yucatán,139846.00000,1386.41357,Chemax,"2317","2318",Oriente,"6",0,0,0,0,6803.87,7366.05,0,522.07,0,0,0,125059.86,0,0,0,0,0,0
