cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","060","31060",Yucatán,10345.65000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",0,1468.9,0,0,693.74,0,0,0,64,0,0,0,8118.15,0,0,0,0,0,0
"31","061","31061",Yucatán,33756.28000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",0,0,3547.5,3854.25,16477.31,0,0,3169.74,77.68,1172.62,0,2092.37,0,1973.04,0,0,53.35,0,335.14
"31","062","31062",Yucatán,19878.24000,197.16112,Sacalum,"2360","2361",Sur,"7",1003.77,2127.51,8.39,0,514.57,0,0,223.06,118.33,0,0,0,15903.33,0,0,0,0,0,0
"31","063","31063",Yucatán,16064.00000,159.24529,Samahil,"2361","2362",Poniente,"1",1216.83,940.57,0.48,0,711.73,0,0,427.14,182.55,0,0,2096.68,10511.84,0,0,0,0,0,0
"31","064","31064",Yucatán,2616.39000,25.94001,Sanahcat,"2362","2363",Centro,"3",0,0,0,0,0,0,0,0,48.46,0,0,0,2569.27,0,0,0,0,0,0
"31","065","31065",Yucatán,45214.35000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,0,1.43,7453.7,29295.53,0,0,0,45.42,98.02,186.03,3112.87,0,2960.26,0,0,1241,0,0
"31","066","31066",Yucatán,51381.68000,509.87699,Santa Elena,"2364","2365",Sur,"7",1428.52,1589.82,0,0,411.24,0,0,0,123.93,0,0,0,47890.11,0,0,0,0,0,0
"31","067","31067",Yucatán,17812.38000,176.57656,Seyé,"2365","2366",Noroeste,"2",257.15,709.47,0,0,598.7,0,0,1.29,228.61,0,0,0,16029.7,0,0,0,0,0,0
"31","068","31068",Yucatán,13426.84000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",0,3771.68,0,699.65,3514.95,0,0,181.44,186.22,83.45,0,3190.23,1805.74,0,0,0,0,0,0
"31","069","31069",Yucatán,54594.42000,541.41639,Sotuta,"2367","2368",Oriente,"6",881.67,2435.68,0,0,6099,0,0,0,266.25,0,0,0,44926.13,0,0,0,0,0,0
"31","070","31070",Yucatán,30721.89000,304.38063,Sucilá,"2368","2369",Noreste,"5",0,0,3.67,0,23608.86,0,0,0,78.31,0,0,0,7018.76,0,0,3.13,0,0,0
"31","071","31071",Yucatán,22155.84000,219.64622,Sudzal,"2369","2370",Centro,"3",0,389.85,0,0,4802.7,0,0,0,64.46,0,0,0,16902.22,0,0,0,0,0,0
"31","072","31072",Yucatán,8790.55000,87.10640,Suma,"2370","2371",Litoral centro,"4",351.73,2204.34,0,0,227.62,0,0,0,125.3,0,0,5.35,5880.02,0,0,0,0,0,0
"31","073","31073",Yucatán,24141.42000,239.57272,Tahdziú,"2371","2372",Oriente,"6",0,7669.09,0,0,134.59,0,0,0,57.21,0,0,0,16284.83,0,0,0,0,0,0
"31","074","31074",Yucatán,10248.87000,101.58976,Tahmek,"2372","2373",Noroeste,"2",120.23,1915.74,0,0,178.32,0,0,189.78,179.6,0,0,0,7671.32,0,0,0,0,0,0
"31","075","31075",Yucatán,22461.19000,222.84278,Teabo,"2373","2374",Sur,"7",104.36,3269.61,0,0,152.61,0,0,0,160.14,0,0,0,18786.36,0,0,0,0,0,0
"31","076","31076",Yucatán,36752.66000,364.44416,Tecoh,"2374","2375",Noroeste,"2",109.25,2835.51,39.84,0,591.93,0,0,131.82,535.74,0,0,0,32538.76,0,0,0,0,0,0
"31","077","31077",Yucatán,19961.84000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",0,3268.85,1.09,0,7166.92,0,0,0,104.34,0,0,0,9422.91,0,0,0,0,0,0
"31","078","31078",Yucatán,7979.12000,79.07761,Tekantó,"2376","2377",Centro,"3",0,1733.76,0,0,802.87,0,0,0,396.33,0,0,0,5049.19,0,0,0,0,0,0
"31","079","31079",Yucatán,276841.69000,2749.10146,Tekax,"2377","2378",Sur,"7",11818.24,22699.06,0,0,5222.14,9.07,2871.95,0,913.41,0,0,7278.56,226203.25,0,0,0,0,0,0
"31","080","31080",Yucatán,28100.50000,278.69264,Tekit,"2378","2379",Sur,"7",0,2971.42,9.23,0,716.78,0,0,16.33,161.62,0,0,0,24241.68,0,0,0,0,0,0
