cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16
"31",Yucatán,Noreste,786995.395,19.8,V,"5",0,4615.01,8359.62,21106.98,430100.23,6753.69,2434.72,2406.01,100.35,12466.7,289381.83,0,0,6861.08,0,0
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",170.46,14375.39,77.08,0,37835.25,0,4360.5,0,0,1410.98,989356.93,0,0,0,0,0
"31",Yucatán,Sur,731305.345,18.4,VII,"7",32636.27,38487.25,26.79,0,22499.81,0,4010.22,0,0,26053.47,608121.96,0,0,0,0,0
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",745.4,34155.85,321.35,19573.93,100635.48,2505.32,2817.97,1076.26,419.79,55967.85,74358.21,0,213.71,2475.19,0,0
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",2611.5,55836.5,3154.29,8089.64,13063.88,2309.09,24071.99,371.87,0,108976.45,158121.43,0,0,1452.5,590.79,0
"31",Yucatán,Poniente,450299.912,11.3,I,"1",8943.15,23111.11,753.86,38287.58,36402.88,6469.88,2627.42,1304.74,21459.43,114438.49,178821.61,179.43,0,10994.77,0,4829.08
"31",Yucatán,Centro,260255.490,6.5,III,"3",204.38,10648.58,94.55,0,41700.15,0,1887.27,0,0,0,205794.68,0,0,0,0,0
