cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_10,clase_11,clase_13,clase_14,clase_15,clase_16
"31",Yucatán,Noreste,786995.395,19.8,V,"5",0,3352.14,8493.98,20492.82,305007.14,0,0,2814.97,37010.87,392530.43,0,9042.74,5287.42,0
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",202,2042.62,0,0,17610.99,0,0,0,693.11,1026355.06,372,0,0,0
"31",Yucatán,Sur,731305.345,18.4,VII,"7",11992,18472.4,0,254,7851.57,0,0,0,72027.5,617870.49,0,0,0,3084.07
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",0,67358.49,986,17965.67,35005.8,3341.8,0,1498.16,108589.11,57104.62,0,2810.93,0,0
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",0,105078.28,0,5594.03,6361.67,6373.26,4896,995.84,205255.53,42591.51,0,418.89,0,0
"31",Yucatán,Poniente,450299.912,11.3,I,"1",153,37727.14,0,71754.55,7251.73,2030.17,0,56.09,251797.27,56509.93,0,10796.72,0,8851.89
"31",Yucatán,Centro,260255.490,6.5,III,"3",0,40643.38,0,0,13616.73,0,0,0,28004.94,178064.58,0,0,0,0
