cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16
"31",Yucatán,Noreste,786995.395,19.8,V,"5",2464.18,18587.68,8317.34,23278.18,462135.62,6205.28,2930.19,2936.69,186.03,12192.59,239195.16,0,605.5,5320.14,0,335.14
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",1477.33,155418.28,76.13,0,119758.24,336.74,7701.43,0,0,1295.89,761522.55,0,0,0,0,0
"31",Yucatán,Sur,731305.345,18.4,VII,"7",56735.07,55931.51,26.47,0,27864.56,290.98,5174.18,0,0,24430.28,561382.7,0,0,0,0,0
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",2933.78,33194.18,1710.56,19855.15,106060.03,2629.05,4899.86,792.28,77.23,57980.93,63080.16,0,212.14,1853.51,0,0
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",4249.91,35886.2,4049.24,10896.46,12685.66,4751.5,52189.84,247.84,0,98460.54,154249.77,0,0,760.46,231.02,0
"31",Yucatán,Poniente,450299.912,11.3,I,"1",8899.65,25245.88,835.52,36884.22,28541.72,7104.19,7083.59,1190.11,22532.52,135308.83,159882.74,176.18,0,13094.36,0,1849.74
"31",Yucatán,Centro,260255.490,6.5,III,"3",999.85,19903.77,94.49,0,49643.99,190.69,3036.69,0,0,0,186460.14,0,0,0,0,0
