cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16
"31",Yucatán,Noreste,786995.395,19.8,V,"5",963.84,9818.65,8252.52,23313.61,450937.97,6345.61,2619.55,2842.03,186.03,12368.3,261381.46,0,222.29,5437.87,0,0
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",1477.33,51074.98,76.13,0,69980.13,499.25,6403.45,0,0,1373.98,916701.35,0,0,0,0,0
"31",Yucatán,Sur,731305.345,18.4,VII,"7",50448.23,39190.43,26.47,0,23973.79,206.08,5174.07,0,0,24586.37,588230.31,0,0,0,0,0
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",2631.98,38162.3,1710.56,19662.92,104975.72,2629.05,4866.9,792.28,432.47,58235.11,59276.92,0,212.14,1690.52,0,0
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",3775.49,45270.48,4049.24,10896.46,9985.43,3922.99,45045.42,247.84,0,102053.59,152420.02,0,0,760.46,231.02,0
"31",Yucatán,Poniente,450299.912,11.3,I,"1",9056.52,27550.3,835.52,36884.22,28082.88,6598.42,6823.09,1190.11,22418.08,139675.16,154083.15,176.18,0,13208.8,0,2046.83
"31",Yucatán,Centro,260255.490,6.5,III,"3",999.85,19998.73,94.49,0,43694.02,302.54,2806.23,0,0,0,192433.77,0,0,0,0,0
