campo,MB,B,M,A,E
fp11,1183.8,0.0,0.0,0.0,0.0
fp12,1151.74,0.0,32.06,0.0,0.0
fp13,1047.46,33.98,92.95,9.41,0.0
fp14,797.44,155.98,143.17,87.2,0.0
fp15,635.2,177.21,149.42,220.94,1.03
fp16,340.35,373.5,113.49,307.84,48.63
fp17,245.5,159.24,287.8,361.95,129.31
fp18,245.48,139.23,80.34,509.48,209.27
fp19,245.35,0.15,215.4,421.21,301.68
fp20,245.35,0.15,199.17,90.28,648.85
