campo,MB,B,M,A,E
fp11,1183.8,0.0,0.0,0.0,0.0
fp12,1183.8,0.0,0.0,0.0,0.0
fp13,1172.79,3.7,7.31,0.0,0.0
fp14,1014.59,142.19,19.42,7.6,0.0
fp15,763.14,219.39,149.92,51.34,0.0
fp16,601.08,199.73,217.92,165.06,0.0
fp17,456.75,203.02,212.44,311.3,0.29
fp18,384.71,197.89,180.55,333.03,87.63
fp19,245.5,211.25,208.79,333.43,184.82
fp20,245.5,188.43,225.84,202.94,321.09
