rank_order,alternatives,w
1,Extremadamente Alta,0.3397321428571428
2,Muy alta,0.21473214285714284
3,Alta,0.15223214285714284
4,Media,0.11056547619047619
5,Muy baja,0.07931547619047619
6,Extremadamente baja,0.05431547619047619
7,sumamente baja,0.033482142857142856
8,infinitamente baja,0.015625
