cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2
"31","060","31060",Yucatán,10344.79000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",8118.15,2226.64
"31","061","31061",Yucatán,33739.84000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",13028.27,19724.74
"31","062","31062",Yucatán,19898.97000,197.16112,Sacalum,"2360","2361",Sur,"7",15911.72,3987.24
"31","063","31063",Yucatán,16087.83000,159.24529,Samahil,"2361","2362",Poniente,"1",12609,3478.82
"31","064","31064",Yucatán,2617.73000,25.94001,Sanahcat,"2362","2363",Centro,"3",2569.27,48.46
"31","065","31065",Yucatán,45198.94000,447.79792,San Felipe,"2363","2364",Noreste,"5",15053.31,29340.94
"31","066","31066",Yucatán,51443.63000,509.87699,Santa Elena,"2364","2365",Sur,"7",47890.11,3553.52
"31","067","31067",Yucatán,17824.93000,176.57656,Seyé,"2365","2366",Noroeste,"2",16029.7,1795.22
"31","068","31068",Yucatán,13433.37000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",5779.07,7654.29
"31","069","31069",Yucatán,54608.74000,541.41639,Sotuta,"2367","2368",Oriente,"6",44926.13,9682.6
"31","070","31070",Yucatán,30712.73000,304.38063,Sucilá,"2368","2369",Noreste,"5",7022.42,23690.31
"31","071","31071",Yucatán,22159.24000,219.64622,Sudzal,"2369","2370",Centro,"3",16902.22,5257.02
"31","072","31072",Yucatán,8794.36000,87.10640,Suma,"2370","2371",Litoral centro,"4",5885.37,2908.99
"31","073","31073",Yucatán,24145.72000,239.57272,Tahdziú,"2371","2372",Oriente,"6",16284.83,7860.89
"31","074","31074",Yucatán,10255.00000,101.58976,Tahmek,"2372","2373",Noroeste,"2",7671.32,2583.68
"31","075","31075",Yucatán,22473.08000,222.84278,Teabo,"2373","2374",Sur,"7",18786.36,3686.72
"31","076","31076",Yucatán,36782.83000,364.44416,Tecoh,"2374","2375",Noroeste,"2",32578.6,4204.24
"31","077","31077",Yucatán,19964.10000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",9423.99,10540.11
"31","078","31078",Yucatán,7982.16000,79.07761,Tekantó,"2376","2377",Centro,"3",5049.19,2932.96
"31","079","31079",Yucatán,277015.68000,2749.10146,Tekax,"2377","2378",Sur,"7",236362.83,40652.85
"31","080","31080",Yucatán,28117.06000,278.69264,Tekit,"2378","2379",Sur,"7",24250.91,3866.15
"31","081","31081",Yucatán,27305.19000,270.91751,Tekom,"2379","2380",Oriente,"6",22643.73,4661.45
"31","082","31082",Yucatán,5798.04000,57.41223,Telchac Pueblo,"2380","2381",Litoral centro,"4",1751.23,4046.81
"31","083","31083",Yucatán,6521.03000,64.56118,Telchac Puerto,"2381","2382",Litoral centro,"4",3860.14,2642.28
"31","084","31084",Yucatán,33761.80000,334.47349,Temax,"2382","2383",Litoral centro,"4",11486.81,22274.99
"31","085","31085",Yucatán,70621.38000,700.36060,Temozón,"2383","2384",Oriente,"6",39927.97,30693.41
"31","086","31086",Yucatán,10873.00000,107.71841,Tepakán,"2384","2385",Centro,"3",7799.77,3073.23
"31","087","31087",Yucatán,33743.62000,333.87542,Tetiz,"2385","2386",Poniente,"1",30036.81,3706.81
"31","088","31088",Yucatán,7789.04000,77.16065,Teya,"2386","2387",Centro,"3",5587.18,2201.86
"31","089","31089",Yucatán,34024.97000,337.25428,Ticul,"2387","2388",Sur,"7",25995.13,8029.83
"31","090","31090",Yucatán,13469.74000,133.42084,Timucuy,"2388","2389",Noroeste,"2",11598.16,1871.58
"31","091","31091",Yucatán,47043.20000,466.52238,Tinum,"2389","2390",Oriente,"6",39559.37,7483.83
"31","092","31092",Yucatán,50220.95000,498.40485,Tixcacalcupul,"2390","2391",Oriente,"6",39387.25,10833.71
"31","093","31093",Yucatán,17238.94000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",12892.86,4346.08
"31","094","31094",Yucatán,23029.14000,228.44979,Tixmehuac,"2392","2393",Sur,"7",16433.49,6595.65
"31","095","31095",Yucatán,7095.18000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",4695.85,2399.33
"31","096","31096",Yucatán,388251.25000,3848.72093,Tizimín,"2394","2395",Noreste,"5",164847.15,223234.75
"31","097","31097",Yucatán,41323.38000,409.60822,Tunkás,"2395","2396",Centro,"3",28351.09,12972.28
"31","098","31098",Yucatán,76584.57000,760.23971,Tzucacab,"2396","2397",Sur,"7",48977.92,27606.64
"31","099","31099",Yucatán,18761.67000,186.06223,Uayma,"2397","2398",Oriente,"6",14162.14,4599.53
"31","100","31100",Yucatán,13097.18000,129.62563,Ucú,"2398","2399",Noroeste,"2",11471.32,1625.86
"31","101","31101",Yucatán,34953.06000,346.05646,Umán,"2399","2400",Noroeste,"2",24410.73,10542.33
"31","102","31102",Yucatán,107773.46000,1069.24356,Valladolid,"2400","2401",Oriente,"6",66533.35,41240.1
"31","103","31103",Yucatán,11081.19000,109.81103,Xocchel,"2401","2402",Centro,"3",10067.57,1013.63
"31","104","31104",Yucatán,147429.64000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",100074.19,47355.45
"31","105","31105",Yucatán,4954.14000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",2524.85,2429.29
"31","106","31106",Yucatán,13182.67000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",8464.59,4716.57
"31","001","31001",Yucatán,29300.75000,290.23783,Abalá,"2299","2300",Noroeste,"2",26586.75,2714
"31","002","31002",Yucatán,13736.21000,136.06331,Acanceh,"2300","2301",Noroeste,"2",10830.94,2905.27
"31","003","31003",Yucatán,7650.93000,75.87159,Akil,"2301","2302",Sur,"7",3104,4546.93
"31","004","31004",Yucatán,10854.88000,107.47849,Baca,"2302","2303",Noroeste,"2",4640.44,6214.44
"31","005","31005",Yucatán,7173.90000,71.06498,Bokobá,"2303","2304",Litoral centro,"4",5944.92,1228.98
"31","006","31006",Yucatán,65429.45000,648.28643,Buctzotz,"2304","2305",Noreste,"5",3542.41,61887.04
"31","007","31007",Yucatán,10153.03000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",8234.22,1918.81
"31","008","31008",Yucatán,29061.53000,288.14560,Calotmul,"2306","2307",Noreste,"5",18731.37,10330.15
"31","009","31009",Yucatán,12885.32000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",6790.55,6094.77
"31","010","31010",Yucatán,35637.76000,353.42205,Cantamayec,"2308","2309",Oriente,"6",34294.85,1342.92
"31","011","31011",Yucatán,60415.08000,597.58699,Celestún,"2309","2310",Poniente,"1",54920.77,3307.17
"31","012","31012",Yucatán,54246.77000,537.66777,Cenotillo,"2310","2311",Noreste,"5",19398.04,34848.73
"31","013","31013",Yucatán,6339.60000,62.76617,Conkal,"2311","2312",Noroeste,"2",2596.6,3743
"31","014","31014",Yucatán,13585.58000,134.76718,Cuncunul,"2312","2313",Oriente,"6",12988.31,597.27
"31","015","31015",Yucatán,9354.71000,92.69076,Cuzamá,"2313","2314",Centro,"3",8713.43,641.28
"31","016","31016",Yucatán,11468.85000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",6612.64,4856.21
"31","017","31017",Yucatán,44342.75000,439.89861,Chankom,"2315","2316",Oriente,"6",32647.15,11695.6
"31","018","31018",Yucatán,16955.28000,168.03446,Chapab,"2316","2317",Sur,"7",15137.49,1817.79
"31","019","31019",Yucatán,139751.86000,1386.41357,Chemax,"2317","2318",Oriente,"6",109488.08,30263.78
"31","020","31020",Yucatán,4431.37000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",2733.58,1697.8
