cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2
"31","060","31060",Yucatán,10344.79000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",10344.79,52
"31","061","31061",Yucatán,33739.84000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",24220.56,8102.87
"31","062","31062",Yucatán,19898.97000,197.16112,Sacalum,"2360","2361",Sur,"7",17787.39,2111.58
"31","063","31063",Yucatán,16087.83000,159.24529,Samahil,"2361","2362",Poniente,"1",11800.45,4287.38
"31","064","31064",Yucatán,2617.73000,25.94001,Sanahcat,"2362","2363",Centro,"3",2567.73,50
"31","065","31065",Yucatán,45198.94000,447.79792,San Felipe,"2363","2364",Noreste,"5",30911.34,13318.24
"31","066","31066",Yucatán,51443.63000,509.87699,Santa Elena,"2364","2365",Sur,"7",51158.01,232.89
"31","067","31067",Yucatán,17824.93000,176.57656,Seyé,"2365","2366",Noroeste,"2",13035.46,4789.47
"31","068","31068",Yucatán,13433.37000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",8371.14,5026.83
"31","069","31069",Yucatán,54608.74000,541.41639,Sotuta,"2367","2368",Oriente,"6",52226.97,2381.76
"31","070","31070",Yucatán,30712.73000,304.38063,Sucilá,"2368","2369",Noreste,"5",11562.05,19150.68
"31","071","31071",Yucatán,22159.24000,219.64622,Sudzal,"2369","2370",Centro,"3",18497.18,3662.06
"31","072","31072",Yucatán,8794.36000,87.10640,Suma,"2370","2371",Litoral centro,"4",5868.22,2926.14
"31","073","31073",Yucatán,24145.72000,239.57272,Tahdziú,"2371","2372",Oriente,"6",24145.72,0
"31","074","31074",Yucatán,10255.00000,101.58976,Tahmek,"2372","2373",Noroeste,"2",7914.85,2340.15
"31","075","31075",Yucatán,22473.08000,222.84278,Teabo,"2373","2374",Sur,"7",22473.08,0
"31","076","31076",Yucatán,36782.83000,364.44416,Tecoh,"2374","2375",Noroeste,"2",27595.08,9187.76
"31","077","31077",Yucatán,19964.10000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",12251.73,7712.37
"31","078","31078",Yucatán,7982.16000,79.07761,Tekantó,"2376","2377",Centro,"3",3535.47,4446.69
"31","079","31079",Yucatán,277015.68000,2749.10146,Tekax,"2377","2378",Sur,"7",268447.17,8426.64
"31","080","31080",Yucatán,28117.06000,278.69264,Tekit,"2378","2379",Sur,"7",25674.38,2442.68
"31","081","31081",Yucatán,27305.19000,270.91751,Tekom,"2379","2380",Oriente,"6",27305.19,0
"31","082","31082",Yucatán,5798.04000,57.41223,Telchac Pueblo,"2380","2381",Litoral centro,"4",946.83,4851.21
"31","083","31083",Yucatán,6521.03000,64.56118,Telchac Puerto,"2381","2382",Litoral centro,"4",5549.11,897.53
"31","084","31084",Yucatán,33761.80000,334.47349,Temax,"2382","2383",Litoral centro,"4",21159.22,12602.58
"31","085","31085",Yucatán,70621.38000,700.36060,Temozón,"2383","2384",Oriente,"6",67158.21,3463.17
"31","086","31086",Yucatán,10873.00000,107.71841,Tepakán,"2384","2385",Centro,"3",6400.59,4472.41
"31","087","31087",Yucatán,33743.62000,333.87542,Tetiz,"2385","2386",Poniente,"1",30117.93,3625.69
"31","088","31088",Yucatán,7789.04000,77.16065,Teya,"2386","2387",Centro,"3",4044.32,3744.72
"31","089","31089",Yucatán,34024.97000,337.25428,Ticul,"2387","2388",Sur,"7",30698.41,3326.55
"31","090","31090",Yucatán,13469.74000,133.42084,Timucuy,"2388","2389",Noroeste,"2",11036.95,2432.78
"31","091","31091",Yucatán,47043.20000,466.52238,Tinum,"2389","2390",Oriente,"6",46879.82,163.39
"31","092","31092",Yucatán,50220.95000,498.40485,Tixcacalcupul,"2390","2391",Oriente,"6",50187.42,0
"31","093","31093",Yucatán,17238.94000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",11347.47,5891.47
"31","094","31094",Yucatán,23029.14000,228.44979,Tixmehuac,"2392","2393",Sur,"7",23021.12,8.02
"31","095","31095",Yucatán,7095.18000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",3654.58,3440.59
"31","096","31096",Yucatán,388251.25000,3848.72093,Tizimín,"2394","2395",Noreste,"5",246517.51,141501.44
