cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16
"31","093","31093",Yucatán,17238.94000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",27.92,3223.92,0,0,53.57,0,575.9,0,0,9296.12,4061.5,0,0,0,0,0
"31","094","31094",Yucatán,23029.14000,228.44979,Tixmehuac,"2392","2393",Sur,"7",0,50.13,0,0,0.43,0,49.64,0,0,0,22928.94,0,0,0,0,0
"31","095","31095",Yucatán,7095.18000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",96.19,1156.93,0,0,0,160.66,106.24,0,0,4028.93,1546.23,0,0,0,0,0
"31","096","31096",Yucatán,388251.25000,3848.72093,Tizimín,"2394","2395",Noreste,"5",346.68,893.94,4899.17,7697.08,198239.34,3051.8,1428,1388.15,0,10027.28,156863.63,0,0,3213.34,0,0
"31","097","31097",Yucatán,41323.38000,409.60822,Tunkás,"2395","2396",Centro,"3",0,1151.44,0,0,8126.26,0,132.32,0,0,0,31913.36,0,0,0,0,0
"31","098","31098",Yucatán,76584.57000,760.23971,Tzucacab,"2396","2397",Sur,"7",6817.42,2279.12,0,0,15917.42,0,534.54,0,0,3479.79,47556.28,0,0,0,0,0
"31","099","31099",Yucatán,18761.67000,186.06223,Uayma,"2397","2398",Oriente,"6",0,13.9,0,0,149.18,0,89.57,0,0,0,18509.01,0,0,0,0,0
"31","100","31100",Yucatán,13097.18000,129.62563,Ucú,"2398","2399",Noroeste,"2",12.63,123.4,0,84.41,89.16,0,678.94,0,0,12108.63,0,0,0,0,0,0
"31","101","31101",Yucatán,34953.06000,346.05646,Umán,"2399","2400",Noroeste,"2",238.01,7598.21,2.65,0,208.44,0,2146.83,0,0,3298.42,21460.5,0,0,0,0,0
"31","102","31102",Yucatán,107773.46000,1069.24356,Valladolid,"2400","2401",Oriente,"6",0,289.74,7.74,0,10417.56,0,2340.67,0,0,0,94717.75,0,0,0,0,0
"31","103","31103",Yucatán,11081.19000,109.81103,Xocchel,"2401","2402",Centro,"3",0,0,0,0,144.34,0,62.95,0,0,0,10873.9,0,0,0,0,0
"31","104","31104",Yucatán,147429.64000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",0,1341.72,4.65,0,1467.09,0,297.63,0,0,0,144318.56,0,0,0,0,0
"31","105","31105",Yucatán,4954.14000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",0,2281.55,0,0,12.45,0,65.01,0,0,2595.13,0,0,0,0,0,0
"31","106","31106",Yucatán,13182.67000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",940.87,1720.04,60.84,568.45,961.75,1003.53,91.13,131.66,0,4707.67,2994.27,0,0,0,0,0
"31","001","31001",Yucatán,29300.75000,290.23783,Abalá,"2299","2300",Noroeste,"2",0,4735.29,5.51,0,622.38,0,45.75,0,0,0,23891.83,0,0,0,0,0
"31","002","31002",Yucatán,13736.21000,136.06331,Acanceh,"2300","2301",Noroeste,"2",183.45,2175.54,0,0,180.98,0,171.02,0,0,0,11025.21,0,0,0,0,0
"31","003","31003",Yucatán,7650.93000,75.87159,Akil,"2301","2302",Sur,"7",3574.95,584.34,0,0,0,0,169.96,0,0,268.64,3053.04,0,0,0,0,0
"31","004","31004",Yucatán,10854.88000,107.47849,Baca,"2302","2303",Noroeste,"2",0,4429.23,0,0,1673.36,0,179.98,0,0,4572.31,0,0,0,0,0,0
"31","005","31005",Yucatán,7173.90000,71.06498,Bokobá,"2303","2304",Litoral centro,"4",0,929.06,0,0,238.04,0,94.83,0,0,1.34,5910.63,0,0,0,0,0
"31","006","31006",Yucatán,65429.45000,648.28643,Buctzotz,"2304","2305",Noreste,"5",0,0,32.86,0,61584.18,0,300.62,0,0,0,3511.79,0,0,0,0,0
"31","007","31007",Yucatán,10153.03000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",0,1821.87,0,0,0,0,194.65,0,0,2884.39,5252.12,0,0,0,0,0
"31","008","31008",Yucatán,29061.53000,288.14560,Calotmul,"2306","2307",Noreste,"5",0,1262.2,0,0,9467.22,0,117.93,0,0,0,18214.19,0,0,0,0,0
"31","009","31009",Yucatán,12885.32000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",108.6,3148.96,0,0,2298.15,0,254.03,0,0,0,7075.58,0,0,0,0,0
"31","010","31010",Yucatán,35637.76000,353.42205,Cantamayec,"2308","2309",Oriente,"6",0,0,0,0,0,0,52.42,0,0,0,35585.35,0,0,0,0,0
"31","011","31011",Yucatán,60415.08000,597.58699,Celestún,"2309","2310",Poniente,"1",0,0,166.12,15382.33,3081.07,2004.72,85.73,770.02,12508.39,15007.95,1533.91,0,0,6592.03,0,1096.77
"31","012","31012",Yucatán,54246.77000,537.66777,Cenotillo,"2310","2311",Noreste,"5",0,6605.8,0,0,21180.39,0,200.98,0,0,0,26259.6,0,0,0,0,0
"31","013","31013",Yucatán,6339.60000,62.76617,Conkal,"2311","2312",Noroeste,"2",72.7,1915.41,0,0,295.71,0,1385.9,0,0,2669.88,0,0,0,0,0,0
"31","014","31014",Yucatán,13585.58000,134.76718,Cuncunul,"2312","2313",Oriente,"6",0,0,0,0,0,0,56.67,0,0,0,13528.91,0,0,0,0,0
"31","015","31015",Yucatán,9354.71000,92.69076,Cuzamá,"2313","2314",Centro,"3",103.62,604.03,6.77,0,105.96,0,57.7,0,0,0,8476.63,0,0,0,0,0
"31","016","31016",Yucatán,11468.85000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",46.33,3185.13,0,0,0,0,139.56,0,0,0,8097.82,0,0,0,0,0
"31","017","31017",Yucatán,44342.75000,439.89861,Chankom,"2315","2316",Oriente,"6",0,6934.65,0,0,269.58,0,147.63,0,0,0,36990.89,0,0,0,0,0
"31","018","31018",Yucatán,16955.28000,168.03446,Chapab,"2316","2317",Sur,"7",422.29,687.3,7.8,0,20.12,0,135.57,0,0,0,15682.19,0,0,0,0,0
