cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_10,clase_11,clase_13,clase_14,clase_15,clase_16
"31","096","31096",Yucatán,388251.25000,3848.72093,Tizimín,"2394","2395",Noreste,"5",0,1632.14,4802.94,6877.6,139869.3,0,0,905.03,15623.11,209822.24,0,5994.77,2491.82,0
"31","097","31097",Yucatán,41323.38000,409.60822,Tunkás,"2395","2396",Centro,"3",0,0,0,0,4000.91,0,0,0,0,37322.47,0,0,0,0
"31","098","31098",Yucatán,76584.57000,760.23971,Tzucacab,"2396","2397",Sur,"7",394,7017.42,0,0,3910.31,0,0,0,2742.08,61324.22,0,0,0,1151.31
"31","099","31099",Yucatán,18761.67000,186.06223,Uayma,"2397","2398",Oriente,"6",0,0,0,0,168.62,0,0,0,0,18593.05,0,0,0,0
"31","100","31100",Yucatán,13097.18000,129.62563,Ucú,"2398","2399",Noroeste,"2",0,901.76,0,0,105.81,0,0,0,12089.61,0,0,0,0,0
"31","101","31101",Yucatán,34953.06000,346.05646,Umán,"2399","2400",Noroeste,"2",0,13189.08,0,0,433.17,0,0,0,12583.91,8746.89,0,0,0,0
"31","102","31102",Yucatán,107773.46000,1069.24356,Valladolid,"2400","2401",Oriente,"6",0,0,0,0,3720.09,0,0,0,0,104026.9,0,0,0,0
"31","103","31103",Yucatán,11081.19000,109.81103,Xocchel,"2401","2402",Centro,"3",0,371.45,0,0,110,0,0,0,668.72,9931.02,0,0,0,0
"31","104","31104",Yucatán,147429.64000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",0,0,0,0,993.79,0,0,0,0,146435.85,0,0,0,0
"31","105","31105",Yucatán,4954.14000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",0,1691.92,0,0,105,0,0,0,3157.22,0,0,0,0,0
"31","106","31106",Yucatán,13182.67000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",0,2627.14,0,613.8,219.85,1197.15,0,193.44,6413.81,1881.93,0,0,0,0
"31","001","31001",Yucatán,29300.75000,290.23783,Abalá,"2299","2300",Noroeste,"2",0,4053.19,0,0,760.67,0,0,0,20499.36,3987.54,0,0,0,0
"31","002","31002",Yucatán,13736.21000,136.06331,Acanceh,"2300","2301",Noroeste,"2",0,5971.63,0,0,0,0,0,0,4005.81,3758.76,0,0,0,0
"31","003","31003",Yucatán,7650.93000,75.87159,Akil,"2301","2302",Sur,"7",1626.29,48,0,0,0,0,0,0,0,5976.64,0,0,0,0
"31","004","31004",Yucatán,10854.88000,107.47849,Baca,"2302","2303",Noroeste,"2",0,4738.01,0,0,381.75,0,0,0,5735.12,0,0,0,0,0
"31","005","31005",Yucatán,7173.90000,71.06498,Bokobá,"2303","2304",Litoral centro,"4",0,2052.28,0,0,0,0,0,0,2075.82,3045.79,0,0,0,0
"31","006","31006",Yucatán,65429.45000,648.28643,Buctzotz,"2304","2305",Noreste,"5",0,64,0,0,42436.76,0,0,0,211.02,22717.67,0,0,0,0
"31","007","31007",Yucatán,10153.03000,100.57051,Cacalchén,"2305","2306",Litoral centro,"4",0,3227.28,0,0,0,0,0,0,3483.96,3441.8,0,0,0,0
"31","008","31008",Yucatán,29061.53000,288.14560,Calotmul,"2306","2307",Noreste,"5",0,0,0,0,4735.47,0,0,0,0,24326.06,0,0,0,0
"31","009","31009",Yucatán,12885.32000,127.62657,Cansahcab,"2307","2308",Litoral centro,"4",0,4637.98,0,0,223.53,0,0,0,5893.92,2129.89,0,0,0,0
"31","010","31010",Yucatán,35637.76000,353.42205,Cantamayec,"2308","2309",Oriente,"6",0,0,0,0,34.32,0,0,0,0,35603.44,0,0,0,0
"31","011","31011",Yucatán,60415.08000,597.58699,Celestún,"2309","2310",Poniente,"1",0,168.97,0,34962.7,182,0,0,0,16305.98,0,0,5336.77,0,758.75
"31","012","31012",Yucatán,54246.77000,537.66777,Cenotillo,"2310","2311",Noreste,"5",0,0,0,0,15350.59,0,0,0,0,38896.18,0,0,0,0
"31","013","31013",Yucatán,6339.60000,62.76617,Conkal,"2311","2312",Noroeste,"2",0,3275.67,0,0,0,0,0,0,3063.93,0,0,0,0,0
"31","014","31014",Yucatán,13585.58000,134.76718,Cuncunul,"2312","2313",Oriente,"6",0,0,0,0,0,0,0,0,0,13585.58,0,0,0,0
"31","015","31015",Yucatán,9354.71000,92.69076,Cuzamá,"2313","2314",Centro,"3",0,2812.8,0,0,0,0,0,0,5292.19,1249.72,0,0,0,0
"31","016","31016",Yucatán,11468.85000,113.79189,Chacsinkín,"2314","2315",Oriente,"6",0,0,0,0,0,0,0,0,0,11468.85,0,0,0,0
"31","017","31017",Yucatán,44342.75000,439.89861,Chankom,"2315","2316",Oriente,"6",0,0,0,0,0,0,0,0,0,44342.75,0,0,0,0
"31","018","31018",Yucatán,16955.28000,168.03446,Chapab,"2316","2317",Sur,"7",0,351.16,0,0,0.24,0,0,0,15039.61,1564.26,0,0,0,0
"31","019","31019",Yucatán,139751.86000,1386.41357,Chemax,"2317","2318",Oriente,"6",0,0,0,0,3127.3,0,0,0,0,136545.62,0,0,0,0
"31","020","31020",Yucatán,4431.37000,43.86840,Chicxulub Pueblo,"2318","2319",Noroeste,"2",0,1631.25,0,0,0,0,0,0,2800.12,0,0,0,0,0
"31","021","31021",Yucatán,46976.02000,466.20642,Chichimilá,"2319","2320",Oriente,"6",0,0,0,0,0.03,0,0,0,0,46954.52,0,0,0,0
"31","022","31022",Yucatán,47371.84000,470.16167,Chikindzonot,"2320","2321",Oriente,"6",0,0,0,0,42,0,0,0,0,47272.49,0,0,0,0
"31","023","31023",Yucatán,29326.12000,290.36740,Chocholá,"2321","2322",Poniente,"1",0,1142.89,0,0,410.12,0,0,0,25706.23,2066.88,0,0,0,0
"31","024","31024",Yucatán,8388.79000,83.16274,Chumayel,"2322","2323",Sur,"7",0,0,0,0,50.8,0,0,0,0,8338,0,0,0,0
"31","025","31025",Yucatán,7997.77000,79.27994,Dzán,"2323","2324",Sur,"7",741.58,0,0,0,20.69,0,0,0,1836.84,5398.67,0,0,0,0
"31","026","31026",Yucatán,17422.14000,172.48678,Dzemul,"2324","2325",Litoral centro,"4",0,4601.34,704.59,640.04,452.71,489.77,0,377.31,9102.47,915.93,0,109.53,0,0
"31","027","31027",Yucatán,20759.32000,205.59232,Dzidzantún,"2325","2326",Litoral centro,"4",0,6708.19,0,1033.74,1561.95,1131.62,0,22.04,10172.14,44.26,0,0,0,0
"31","028","31028",Yucatán,43222.72000,428.12995,Dzilam de Bravo,"2326","2327",Litoral centro,"4",0,131.24,0,13838.45,2793.96,269.71,0,284.24,15697.91,6251.23,0,2530.83,0,0
"31","029","31029",Yucatán,50647.64000,501.70990,Dzilam González,"2327","2328",Litoral centro,"4",0,3493.75,0,296.58,17791.03,0,0,0,10308.6,18757.68,0,0,0,0
"31","030","31030",Yucatán,30950.27000,306.86940,Dzitás,"2328","2329",Oriente,"6",0,0,0,0,513.23,0,0,0,0,30437.03,0,0,0,0
