ageb_id,year,budget,budget_spl,stress,cat_vul,ex_cat_vul
"7278","2060","1000",action_budget,base,"1","3"
"7279","2060","1000",action_budget,base,"1","3"
"7280","2060","1000",action_budget,base,"1","3"
"7281","2060","1000",action_budget,base,"1","3"
"7282","2060","1000",action_budget,base,"1","3"
"7283","2060","1000",action_budget,base,"1","3"
"7284","2060","1000",action_budget,base,"1","3"
"7285","2060","1000",action_budget,base,"1","3"
"7286","2060","1000",action_budget,base,"1","3"
"7287","2060","1000",action_budget,base,"4","5"
"7288","2060","1000",action_budget,base,"1","3"
"7289","2060","1000",action_budget,base,"3","5"
"7290","2060","1000",action_budget,base,"4","5"
"7291","2060","1000",action_budget,base,"1","3"
"7292","2060","1000",action_budget,base,"1","3"
"7293","2060","1000",action_budget,base,"1","3"
"7294","2060","1000",action_budget,base,"3","5"
"7295","2060","1000",action_budget,base,"4","5"
"7296","2060","1000",action_budget,base,"3","5"
"7297","2060","1000",action_budget,base,"3","5"
"7298","2060","1000",action_budget,base,"4","5"
"7299","2060","1000",action_budget,base,"3","5"
"7300","2060","1000",action_budget,base,"4","5"
"7301","2060","1000",action_budget,base,"4","5"
"7302","2060","1000",action_budget,base,"4","5"
"7303","2060","1000",action_budget,base,"3","5"
"7304","2060","1000",action_budget,base,"3","5"
"7305","2060","1000",action_budget,base,"4","5"
"7306","2060","1000",action_budget,base,"4","5"
"7307","2060","1000",action_budget,base,"4","5"
"7308","2060","1000",action_budget,base,"4","5"
"7309","2060","1000",action_budget,base,"3","5"
"7310","2060","1000",action_budget,base,"4","5"
"7311","2060","1000",action_budget,base,"4","5"
"7312","2060","1000",action_budget,base,"4","5"
"7313","2060","1000",action_budget,base,"4","5"
"7314","2060","1000",action_budget,base,"3","5"
"7315","2060","1000",action_budget,base,"3","5"
"7316","2060","1000",action_budget,base,"4","5"
"7317","2060","1000",action_budget,base,"4","5"
"7318","2060","1000",action_budget,base,"4","5"
"7319","2060","1000",action_budget,base,"4","5"
"7320","2060","1000",action_budget,base,"4","5"
"7321","2060","1000",action_budget,base,"3","5"
"7322","2060","1000",action_budget,base,"4","5"
"7323","2060","1000",action_budget,base,"4","5"
"7324","2060","1000",action_budget,base,"4","5"
"7325","2060","1000",action_budget,base,"4","5"
"7326","2060","1000",action_budget,base,"4","5"
"7327","2060","1000",action_budget,base,"4","5"
"7328","2060","1000",action_budget,base,"4","5"
"7329","2060","1000",action_budget,base,"4","5"
"7330","2060","1000",action_budget,base,"3","5"
"7331","2060","1000",action_budget,base,"4","5"
"7332","2060","1000",action_budget,base,"2","3"
"7333","2060","1000",action_budget,base,"3","5"
"7334","2060","1000",action_budget,base,"1","3"
"7335","2060","1000",action_budget,base,"1","3"
"7336","2060","1000",action_budget,base,"1","3"
"7337","2060","1000",action_budget,base,"3","5"
"7338","2060","1000",action_budget,base,"1","3"
"7339","2060","1000",action_budget,base,"1","3"
"7340","2060","1000",action_budget,base,"1","3"
"7341","2060","1000",action_budget,base,"3","5"
"7342","2060","1000",action_budget,base,"1","3"
"7343","2060","1000",action_budget,base,"1","4"
"7344","2060","1000",action_budget,base,"1","3"
"7345","2060","1000",action_budget,base,"3","5"
"7346","2060","1000",action_budget,base,"1","3"
"7347","2060","1000",action_budget,base,"1","3"
"7348","2060","1000",action_budget,base,"1","3"
"7349","2060","1000",action_budget,base,"1","3"
