cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3
"31",Yucatán,Noreste,786995.395,19.8,V,"5",0,308359.28,475673.23
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",0,20227.61,1027048.17
"31",Yucatán,Sur,731305.345,18.4,VII,"7",0,38315.97,693236.07
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",3341.8,102364.29,188954.49
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",11269.26,111439.96,254855.8
"31",Yucatán,Poniente,450299.912,11.3,I,"1",2030.17,45131.87,399766.45
"31",Yucatán,Centro,260255.490,6.5,III,"3",0,54260.1,206069.52
