cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3
"31",Yucatán,Noreste,786995.395,19.8,V,"5",9188.4,434715.24,340682.55
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",4360.5,52381.1,990844.99
"31",Yucatán,Sur,731305.345,18.4,VII,"7",4010.22,93623.32,634202.22
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",5323.29,135750.44,154192.57
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",26381.08,71511.88,280756.99
"31",Yucatán,Poniente,450299.912,11.3,I,"1",9097.29,68636.58,370889.57
"31",Yucatán,Centro,260255.490,6.5,III,"3",1887.27,52553.11,205889.24
