cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3
"31",Yucatán,Noreste,786995.395,19.8,V,"5",8965.16,461942.75,313781.82
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",6902.7,122532.44,918151.46
"31",Yucatán,Sur,731305.345,18.4,VII,"7",5380.15,113612.45,612843.15
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",7495.95,145982.14,141800.77
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",48968.41,59031.39,270658.63
"31",Yucatán,Poniente,450299.912,11.3,I,"1",13421.51,64865.88,370341.87
"31",Yucatán,Centro,260255.490,6.5,III,"3",3108.76,64692.6,192528.26
