cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3
"31",Yucatán,Noreste,786995.395,19.8,V,"5",6652,392348.68,385587.39
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",4201.15,71334.91,972050.53
"31",Yucatán,Sur,731305.345,18.4,VII,"7",4014.05,89173.32,638648.38
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",6353.36,114899.65,173927.87
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",25666.51,92793.4,259354.42
"31",Yucatán,Poniente,450299.912,11.3,I,"1",8612.75,80316.17,358694.03
"31",Yucatán,Centro,260255.490,6.5,III,"3",1714.89,45233.36,213381.37
