cve_ent,nom_ent,region,area_ha,%area,no_region,id_region,clase_1,clase_2,clase_3
"31",Yucatán,Noreste,786995.395,19.8,V,"5",9135.47,483792.98,291761.27
"31",Yucatán,Oriente,1047801.794,26.4,VI,"6",8038.17,276653.86,762894.57
"31",Yucatán,Sur,731305.345,18.4,VII,"7",5465.16,140531.15,585839.45
"31",Yucatán,Litoral centro,296264.124,7.5,IV,"4",7528.91,142400.13,145349.82
"31",Yucatán,Noroeste,403476.109,10.1,II,"2",56941.34,52821.76,268895.33
"31",Yucatán,Poniente,450299.912,11.3,I,"1",14187.78,62863.43,371578.05
"31",Yucatán,Centro,260255.490,6.5,III,"3",3227.38,70547.61,186554.63
