campo,MB,B,M,A,E
fp10,759.15,424.65,0.0,0.0,0.0
fp11,598.47,535.56,49.78,0.0,0.0
fp12,536.77,467.47,171.95,7.6,0.0
fp13,447.48,396.91,320.49,18.93,0.0
fp14,384.71,362.44,344.32,92.33,0.0
fp15,245.5,379.28,389.87,169.15,0.0
fp16,245.5,337.09,278.78,321.86,0.56
fp17,245.5,211.25,306.39,359.0,61.65
fp18,245.42,190.95,287.69,294.68,165.06
fp19,245.42,188.51,225.84,252.15,271.88
fp20,245.42,139.29,224.19,161.66,413.24
