campo,MB,B,M,A,E
FP10,245.41,0.09,785.35,152.95,0.0
FP11,1150.71,33.09,0.0,0.0,0.0
FP12,1098.8,15.3,37.64,32.06,0.0
FP13,888.74,84.3,110.19,100.57,0.0
FP14,586.11,348.23,135.2,114.27,0.0
FP15,245.5,291.9,330.41,276.62,39.37
FP16,245.48,27.22,607.5,228.27,75.34
FP17,229.02,16.49,6.73,717.19,214.37
FP18,220.32,25.18,39.9,649.77,248.63
FP19,219.53,25.88,0.09,432.64,505.65
FP20,219.53,25.88,0.09,295.65,642.65
