campo,MB,B,M,A,E
FP10,245.41,0.09,785.35,152.95,0.0
FP11,245.5,721.83,103.25,113.22,0.0
FP12,245.41,652.61,200.78,52.94,32.06
FP13,221.54,243.63,491.08,193.39,34.16
FP14,220.32,59.06,675.48,164.57,64.37
FP15,219.53,25.97,370.28,438.72,129.29
FP16,219.53,25.97,530.97,299.27,108.05
FP17,219.53,25.88,0.35,675.69,262.36
FP18,219.53,25.88,0.45,671.48,266.45
FP19,218.82,1.56,25.13,203.56,734.73
FP20,218.82,1.5,25.18,254.56,683.73
