campo,MB,B,M,A,E
fp10,296.42,743.23,136.84,7.31,0.0
fp11,375.32,619.06,147.94,41.47,0.0
fp12,245.41,621.4,234.73,82.26,0.0
fp13,221.54,508.74,286.43,167.09,0.0
fp14,220.32,231.19,446.78,284.48,1.03
fp15,219.53,185.22,365.97,346.67,66.41
fp16,219.53,165.18,286.95,401.11,111.03
fp17,219.53,25.97,219.55,516.71,202.04
fp18,219.53,25.97,215.4,370.99,351.91
fp19,218.82,26.68,199.17,130.1,609.03
fp20,218.82,26.6,151.02,64.5,722.86
