campo,MB,B,M,A,E
fp10,245.5,770.81,97.79,69.7,0.0
fp11,245.5,721.83,103.25,113.22,0.0
fp12,245.41,587.06,214.8,136.53,0.0
fp13,221.54,243.63,491.08,193.39,34.16
fp14,220.32,25.18,635.71,255.99,46.59
fp15,219.53,25.97,370.28,438.72,129.29
fp16,219.53,25.95,149.52,605.18,183.62
fp17,219.53,25.88,0.35,675.69,262.36
fp18,219.53,25.88,0.09,535.64,402.66
fp19,218.82,1.56,25.13,203.56,734.73
fp20,218.82,1.5,25.18,0.36,937.94
